threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,pathogenic_recall,specificity,f1,f1_binary,f1_macro,f1_weighted,mcc,cohen_kappa,brier_score,log_loss,ppv,npv,tn,fp,fn,tp,false_negative_rate,false_positive_rate,calibration_quality,medical_utility_score,clinical_safety_score,dataset_split,panel,n
0.6399999999999999,0.8478143022783056,0.9040847361024198,0.7543561410964726,0.7624502033693559,0.8817442719881744,0.7405338299193048,0.784366576819407,0.8049932523616734,0.8049932523616734,0.7365953632646485,0.7618557821449352,0.4933756753117654,0.4798957981984958,0.142691432010178,0.4519997382294056,0.8817442719881744,0.582,582,160,418,1193,0.2594661700806952,0.215633423180593,0.4292342719592878,0.7493460158577028,0.69647492913023,MASTER_ONLY_CV,,2353
0.6449999999999999,0.8478143022783056,0.9040847361024198,0.7535061623459414,0.7632834237661896,0.8838421444527178,0.7368094351334574,0.7897574123989218,0.8036560595802302,0.8036560595802302,0.7363029156348639,0.7611774936580358,0.4943158569376505,0.4798247914328926,0.142691432010178,0.4519997382294056,0.8838421444527178,0.5801980198019802,586,156,424,1187,0.2631905648665425,0.2102425876010781,0.4292342719592878,0.749513605080807,0.696227083172429,MASTER_ONLY_CV,,2353
0.6499999999999999,0.8478143022783056,0.9040847361024198,0.7530811729706758,0.7637000339646065,0.8849028400597907,0.7349472377405338,0.7924528301886793,0.8029840623940319,0.8029840623940319,0.7361533857786893,0.7608350083790857,0.4947990149982504,0.4797894641511042,0.142691432010178,0.4519997382294056,0.8849028400597907,0.5793103448275863,588,154,427,1184,0.2650527622594661,0.2075471698113207,0.4292342719592878,0.7495991567095067,0.6961052777368676,MASTER_ONLY_CV,,2353
0.6549999999999999,0.8478143022783056,0.9040847361024198,0.7522311942201445,0.7641697661461548,0.8864661654135338,0.7318435754189944,0.7964959568733153,0.8017681060863652,0.8017681060863652,0.7357282456777434,0.760117807384115,0.4952211597725907,0.4793759793966632,0.142691432010178,0.4519997382294056,0.8864661654135338,0.5777126099706745,591,151,432,1179,0.2681564245810056,0.2035040431266846,0.4292342719592878,0.7495872067814277,0.6957543327646726,MASTER_ONLY_CV,,2353
0.6599999999999999,0.8478143022783056,0.9040847361024198,0.7509562260943476,0.7639656438802639,0.8873771730914588,0.728739913097455,0.7991913746630728,0.8002726653033402,0.8002726653033402,0.7347864455184873,0.7589715390131907,0.4944570683158242,0.4779022762624403,0.142691432010178,0.4519997382294056,0.8873771730914588,0.5757281553398058,593,149,437,1174,0.271260086902545,0.2008086253369272,0.4292342719592878,0.7491070104538681,0.6949538706480217,MASTER_ONLY_CV,,2353
0.6649999999999999,0.8478143022783056,0.9040847361024198,0.7479813004674883,0.7621565684704716,0.8873668188736682,0.7237740533829919,0.8005390835579514,0.7972649572649573,0.7972649572649573,0.7321529727369143,0.7561998552506709,0.490608429411169,0.4732255946711304,0.142691432010178,0.4519997382294056,0.8873668188736682,0.5717035611164581,594,148,445,1166,0.276225946617008,0.1994609164420485,0.4292342719592878,0.7473074178634184,0.6926824279107269,MASTER_ONLY_CV,,2353
0.6699999999999999,0.8478143022783056,0.9040847361024198,0.7454313642158946,0.7606578592928335,0.8874425727411945,0.7194289261328367,0.8018867924528302,0.7946520397668838,0.7946520397668838,0.7299140578935034,0.7538228153299537,0.4874225455080693,0.4692885563465798,0.142691432010178,0.4519997382294056,0.8874425727411945,0.5682903533906399,595,147,452,1159,0.2805710738671632,0.1981132075471698,0.4292342719592878,0.7457974587964072,0.6907579029805443,MASTER_ONLY_CV,,2353
0.6749999999999999,0.8478143022783056,0.9040847361024198,0.7441563960900978,0.7608172252422278,0.8889745566692367,0.7157045313469894,0.8059299191374663,0.7929848693259972,0.7929848693259972,0.7290842032948117,0.752683726788692,0.4873197824282197,0.4681966819217672,0.142691432010178,0.4519997382294056,0.8889745566692367,0.5662878787878788,598,144,458,1153,0.2842954686530105,0.1940700808625337,0.4292342719592878,0.7455188596506905,0.6900860861467725,MASTER_ONLY_CV,,2353
0.6799999999999999,0.8478143022783056,0.9040847361024198,0.741606459838504,0.7600454924951605,0.890272373540856,0.7101179391682185,0.8099730458221024,0.7900552486187845,0.7900552486187845,0.7270718232044199,0.7503325952762783,0.4853911555392166,0.4649908863739885,0.142691432010178,0.4519997382294056,0.890272373540856,0.5627340823970037,601,141,467,1144,0.2898820608317815,0.1900269541778975,0.4292342719592878,0.7444007988479524,0.6884061683791839,MASTER_ONLY_CV,,2353
0.6849999999999999,0.8478143022783056,0.9040847361024198,0.738206544836379,0.7586530272837851,0.8914240755310779,0.7032898820608318,0.8140161725067385,0.7862595419847328,0.7862595419847328,0.7242701218695593,0.7471637921118397,0.482292911163828,0.4604062863899122,0.142691432010178,0.4519997382294056,0.8914240755310779,0.5582255083179297,604,138,478,1133,0.2967101179391682,0.1859838274932614,0.4292342719592878,0.742731494685082,0.6860635626954941,MASTER_ONLY_CV,,2353
