feature,eda_rank,auc_equivalent,auc_directional_strength,p_value,mean_abs_shap,shap_rank,in_final_model_shap
AL_267,281,0.5012019230769231,0.5012019230769231,0.2210410106990249,0.0,313.0,True
AL_200,281,0.5012019230769231,0.5012019230769231,0.2210410106990249,0.0,313.0,True
AL_227,281,0.5012019230769231,0.5012019230769231,0.2210410106990249,0.0,313.0,True
AL_204,281,0.5012019230769231,0.5012019230769231,0.2210410106990249,0.0,313.0,True
AL_269,281,0.5012019230769231,0.5012019230769231,0.2210410106990249,0.0,313.0,True
AL_50,287,0.5010140896197744,0.5010140896197744,0.9252127338901552,0.0180924149818017,164.0,True
AL_325,288,0.5006839131727624,0.5006839131727624,0.9580419776064502,0.0035373235324776,248.0,True
AL_229,289,0.5004076923076923,0.5004076923076923,0.97956870276576,0.0008612249463563,299.0,True
AL_304,290,0.5004039052433343,0.5004039052433343,0.976910364141476,0.0859582386184502,61.0,True
AL_47,291,0.4997382994529614,0.5002617005470386,0.9454473667848196,0.0,313.0,True
AL_333,292,0.4998257177784385,0.5001742822215615,0.9893632554890012,0.010817796759694,197.0,True
AL_176,293,0.5,0.5,1.0,0.0,313.0,True
AL_179,293,0.5,0.5,1.0,0.0,313.0,True
AL_80,293,0.5,0.5,1.0,0.0,313.0,True
AL_137,293,0.5,0.5,1.0,0.0,313.0,True
AL_140,293,0.5,0.5,1.0,0.0,313.0,True
AL_143,293,0.5,0.5,1.0,0.0,313.0,True
AL_146,293,0.5,0.5,1.0,0.0,313.0,True
AL_149,293,0.5,0.5,1.0,0.0,313.0,True
AL_152,293,0.5,0.5,1.0,0.0,313.0,True
AL_116,293,0.5,0.5,1.0,0.0,313.0,True
AL_104,293,0.5,0.5,1.0,0.0,313.0,True
AL_110,293,0.5,0.5,1.0,0.0,313.0,True
AL_113,293,0.5,0.5,1.0,0.0,313.0,True
AL_107,293,0.5,0.5,1.0,0.0,313.0,True
AL_320,293,0.5,0.5,1.0,0.0,313.0,True
AL_303,293,0.5,0.5,1.0,0.0,313.0,True
AL_299,293,0.5,0.5,1.0,0.0,313.0,True
AL_119,293,0.5,0.5,1.0,0.0,313.0,True
AL_307,293,0.5,0.5,1.0,0.0,313.0,True
AL_122,293,0.5,0.5,1.0,0.0,313.0,True
AL_125,293,0.5,0.5,1.0,0.0,313.0,True
AL_131,293,0.5,0.5,1.0,0.0,313.0,True
AL_128,293,0.5,0.5,1.0,0.0,313.0,True
AL_134,293,0.5,0.5,1.0,0.0,313.0,True
AL_101,293,0.5,0.5,1.0,0.0,313.0,True
AL_292,293,0.5,0.5,1.0,0.0,313.0,True
AL_316,293,0.5,0.5,1.0,0.0,313.0,True
AL_170,293,0.5,0.5,1.0,0.0,313.0,True
AL_173,293,0.5,0.5,1.0,0.0,313.0,True
AL_164,293,0.5,0.5,1.0,0.0,313.0,True
AL_161,293,0.5,0.5,1.0,0.0,313.0,True
AL_167,293,0.5,0.5,1.0,0.0,313.0,True
AL_158,293,0.5,0.5,1.0,0.0,313.0,True
AL_155,293,0.5,0.5,1.0,0.0,313.0,True
AL_195,293,0.5,0.5,1.0,0.0,313.0,True
AL_197,293,0.5,0.5,1.0,0.0,313.0,True
AL_182,293,0.5,0.5,1.0,0.0,313.0,True
AL_208,293,0.5,0.5,1.0,0.0,313.0,True
AL_212,293,0.5,0.5,1.0,0.0,313.0,True
AL_191,293,0.5,0.5,1.0,0.0,313.0,True
AL_263,293,0.5,0.5,1.0,0.0,313.0,True
AL_256,293,0.5,0.5,1.0,0.0,313.0,True
AL_248,293,0.5,0.5,1.0,0.0,313.0,True
AL_244,293,0.5,0.5,1.0,0.0,313.0,True
AL_236,293,0.5,0.5,1.0,0.0,313.0,True
AL_233,293,0.5,0.5,1.0,0.0,313.0,True
AL_231,293,0.5,0.5,1.0,0.0,313.0,True
AL_220,293,0.5,0.5,1.0,0.0,313.0,True
AL_324,293,0.5,0.5,1.0,0.0,313.0,True
AL_332,293,0.5,0.5,1.0,0.0,313.0,True
AL_280,293,0.5,0.5,1.0,0.0,313.0,True
AL_276,293,0.5,0.5,1.0,0.0,313.0,True
AL_272,293,0.5,0.5,1.0,0.0,313.0,True
AL_284,293,0.5,0.5,1.0,0.0,313.0,True
AL_309,293,0.5,0.5,1.0,0.0,313.0,True
AL_312,293,0.5,0.5,1.0,0.0,313.0,True
AL_185,293,0.5,0.5,1.0,,,False
