feature,eda_rank,auc_equivalent,auc_directional_strength,p_value,mean_abs_shap,shap_rank,in_final_model_shap
AL_151,54,0.4280055856241527,0.5719944143758473,5.907396953824961e-06,0.0252892093081193,134.0,True
AL_166,55,0.4280912046805084,0.5719087953194916,6.059862355921396e-06,0.059981835790222,82.0,True
AL_211,56,0.4281307692307692,0.5718692307692308,8.404771675234929e-05,0.0181075395695944,163.0,True
EK_8,57,0.5715033432184762,0.5715033432184762,5.6954374960363456e-08,0.3169078607108709,9.0,True
AL_255,58,0.4289346153846153,0.5710653846153846,0.0001008370551295,0.0728285230623416,72.0,True
AL_118,59,0.4293449122914309,0.570655087708569,8.772474350876656e-06,0.0123875951045858,188.0,True
AL_30,60,0.43125,0.56875,0.0884601286142134,0.0023062984739677,272.0,True
AL_43,61,0.431647615992436,0.5683523840075639,2.8222404032145392e-05,0.0450565544350851,101.0,True
AL_23,62,0.4323521302530764,0.5676478697469236,0.0001542093951559,0.173064604096274,27.0,True
AL_160,63,0.4325209715724347,0.5674790284275653,2.1803062355272785e-05,0.0172827802778216,170.0,True
AL_100,64,0.4338154501625743,0.5661845498374257,3.125391587392189e-05,0.0214258806736676,150.0,True
AL_139,65,0.4347572597824868,0.5652427402175132,4.0453294623433215e-05,0.0185446698891846,162.0,True
AL_76,66,0.4368105703504563,0.5631894296495437,0.0002697188223948,0.0268854599802223,130.0,True
AL_121,67,0.4369425842685177,0.5630574157314823,7.266731518668487e-05,0.0272655945328696,129.0,True
AL_298,68,0.4371890177420953,0.5628109822579046,2.799872425966395e-05,0.1349686006029788,41.0,True
AL_22,69,0.4372582380827735,0.5627417619172266,0.0004520365173727,0.1769612026351761,25.0,True
AL_175,70,0.4373136001793923,0.5626863998206078,8.012173846373923e-05,0.0293374126574117,126.0,True
AL_13,71,0.4374797802400952,0.5625202197599048,2.0273968015003608e-05,0.116119231362638,54.0,True
AL_230,72,0.4375192307692307,0.5624807692307692,0.0006289294885784,0.0126842652382177,187.0,True
AL_46,73,0.4383927365435267,0.5616072634564733,0.0001605644574181,0.080168366452764,66.0,True
AL_88,74,0.4397762480560344,0.5602237519439656,0.000516980751201,0.0135460073201959,184.0,True
AL_283,75,0.4400307692307692,0.5599692307692308,0.0010329642416254,0.0334145522754073,120.0,True
AL_219,76,0.44005,0.55995,0.0010368251017535,0.0237988982102462,143.0,True
AL_15,77,0.440185617395926,0.559814382604074,4.55421998416145e-05,0.1260547420239202,45.0,True
AL_28,78,0.4410493827160494,0.5589506172839507,0.1441199933292096,0.000662894055867,306.0,True
AL_181,79,0.4418819884006564,0.5581180115993436,0.0002555807090909,0.0511701481579678,95.0,True
AL_154,80,0.4423386233678867,0.5576613766321132,0.0002857674250319,0.0204581635563604,154.0,True
AL_142,81,0.4427014850829179,0.557298514917082,0.0003121036774801,0.0137612194744421,182.0,True
AL_109,82,0.4428706846466685,0.5571293153533314,0.0003251458762683,0.0412921056395483,108.0,True
AL_27,83,0.4444444444444444,0.5555555555555556,0.1103306052532502,0.0,313.0,True
AL_9,84,0.4445935250551711,0.5554064749448289,0.0001587799095225,0.1782854492255416,24.0,True
AL_306,85,0.4465374830673671,0.5534625169326328,0.0003629418951434,0.1573520165883241,33.0,True
AL_207,86,0.4469884615384615,0.5530115384615384,0.0037236764113996,0.0619065341987809,81.0,True
AL_133,87,0.447487998042993,0.552512001957007,0.0009535548498778,0.0564113302831517,87.0,True
AL_223,88,0.4474884615384615,0.5525115384615384,0.0009114673532196,0.0412513826003018,109.0,True
AL_52,89,0.447676774498548,0.5523232255014521,0.001348875254116,0.1209191551604053,50.0,True
