path,extension,bytes,classification
audit_outputs/11_inference_readiness_report.md,.md,389,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/12_reproducibility_report.md,.md,425,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/13_applied_fixes.md,.md,1835,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/14_final_model_verification.md,.md,1386,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/15_teknofest_readiness_verdict.md,.md,4729,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/audited_feature_importance.csv,.csv,4528,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/audited_feature_importance.png,.png,60775,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/class_distribution.csv,.csv,176,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/data_shapes.csv,.csv,260,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/duplicate_overlap_summary.csv,.csv,507,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/inference_smoke.csv,.csv,283539,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/missingness_summary.csv,.csv,51406,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/recomputed_confusion_matrices.csv,.csv,365,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/recomputed_master_metrics.csv,.csv,3606,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/recomputed_panel_metrics.csv,.csv,2665,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/recomputed_subgroup_metrics.csv,.csv,3606,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/recomputed_threshold_sweep.csv,.csv,85779,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/repository_file_listing.txt,.txt,216962,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/schema_mismatch_summary.csv,.csv,157,ARCHIVE_PREVIOUS_RESULTS
catboost_info/catboost_training.json,.json,19447,ARCHIVE_PREVIOUS_RESULTS
catboost_info/learn/events.out.tfevents,.tfevents,10870,ARCHIVE_PREVIOUS_RESULTS
catboost_info/learn_error.tsv,.tsv,3275,ARCHIVE_PREVIOUS_RESULTS
catboost_info/time_left.tsv,.tsv,2868,ARCHIVE_PREVIOUS_RESULTS
configs/audited_final_model_config.json,.json,472,ACTIVE_CORE
data/processed/adsiz_dokuman_extracted.txt,.txt,12175,PROTECTED_DO_NOT_TOUCH
data/processed/binary_al_flag_columns.txt,.txt,806,PROTECTED_DO_NOT_TOUCH
data/processed/cftr_engineered.csv,.csv,352456,PROTECTED_DO_NOT_TOUCH
data/processed/cftr_prepared.csv,.csv,281583,PROTECTED_DO_NOT_TOUCH
