model_name,evaluation_split,threshold_source,threshold_strategy,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,f1_macro,f1_weighted,precision,recall,specificity,mcc,tn,fp,fn,tp,feature,error_group,feature_mean,feature_median,n_group
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,aa_change_te,TP,0.7784258392297706,0.777664050949619,15
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,EK_7,FN,4.4915838438867475,4.4915838438867475,3
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,EK_7,FP,4.539056337314038,4.45399805919725,37
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,EK_7,TN,2.1631068553567334,1.0173176605723255,60
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,EK_7,TP,7.315477096767648,7.718814816735891,42
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,EK_9,FN,8.373435827719902,8.373435827719902,3
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,EK_9,FP,5.9942299639071095,6.823283033169151,37
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,EK_9,TN,2.9526521285382663,1.2810660573749564,60
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,EK_9,TP,9.383974240111584,9.78212027482331,42
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,n_pops,FN,10.333333333333334,11.0,3
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,n_pops,FP,14.27027027027027,10.0,37
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,n_pops,TN,21.966666666666665,26.0,60
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,n_pops,TP,6.190476190476191,0.0,42
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,max_AF,FN,0.023102385042782336,0.0114698125467693,3
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,max_AF,FP,0.045004032725957856,0.0396363140972998,37
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,max_AF,TN,0.05663567315177752,0.056117571162490096,60
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,max_AF,TP,0.01796256338293448,0.0,42
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,log_max_AF,FN,-6.059411783107676,-1.9404436797943312,3
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,log_max_AF,FP,-2.86973259472468,-1.4019067386880468,37
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,log_max_AF,TN,-1.7401693263384246,-1.2509057703964719,60
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,log_max_AF,TP,-8.634182802541346,-15.0,42
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,EK_net_evidence,FN,3.0,3.0,3
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,EK_net_evidence,FP,2.918918918918919,4.0,37
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,EK_net_evidence,TN,0.31666666666666665,0.0,60
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,EK_net_evidence,TP,5.333333333333333,5.0,42
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,cat1_multipop,FN,0.0,0.0,3
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,cat1_multipop,FP,0.0,0.0,37
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,cat1_multipop,TN,0.0,0.0,60
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,cat1_multipop,TP,0.0,0.0,42
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,cat1_AFR,FN,0.0,0.0,3
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,cat1_AFR,FP,0.08108108108108109,0.0,37
