model,fold,threshold_name,threshold,auc_roc,auc_pr,f1_macro,f1_weighted,mcc,benign_precision,benign_recall,benign_f1,pathogenic_precision,pathogenic_recall,pathogenic_f1
acmg_rule,1,f1_macro_opt,0.0009110511944006454,0.6904443027210885,0.8092547928870121,0.6240003874349987,0.6926009339273087,0.27669026155081333,0.5777777777777777,0.35374149659863946,0.4388185654008439,0.7480106100795756,0.88125,0.8091822094691535
acmg_rule,1,youden_j,0.11920292202211755,0.6904443027210885,0.8092547928870121,0.5908978052608156,0.6129653016449146,0.2467715958577278,0.42063492063492064,0.7210884353741497,0.531328320802005,0.8093023255813954,0.54375,0.6504672897196262
lr_ek_only,1,default_0.5,0.5,0.7186437074829932,0.8168631435226659,0.6605978621256731,0.7069057915241685,0.3212032679411935,0.5337837837837838,0.5374149659863946,0.535593220338983,0.786833855799373,0.784375,0.7856025039123631
lr_ek_only,1,f1_macro_opt,0.5054749132495793,0.7186437074829932,0.8168631435226659,0.6698218732852138,0.7140855357842862,0.3397654955592179,0.543046357615894,0.5578231292517006,0.5503355704697986,0.7943037974683544,0.784375,0.789308176100629
lr_ek_only,1,youden_j,0.5149508515200599,0.7186437074829932,0.8168631435226659,0.6683792815371763,0.7112579807835077,0.33750585000523214,0.535031847133758,0.5714285714285714,0.5526315789473685,0.7967741935483871,0.771875,0.7841269841269841
lightgbm,1,default_0.5,0.5,0.8606292517006803,0.9163663793496536,0.7774400576124714,0.807629525103497,0.5549166899554303,0.6912751677852349,0.7006802721088435,0.6959459459459459,0.8616352201257862,0.85625,0.8589341692789969
lightgbm,1,f1_macro_opt,0.5200137401994226,0.8606292517006803,0.9163663793496536,0.7839327024185068,0.8125558805449915,0.5681937691822032,0.6928104575163399,0.7210884353741497,0.7066666666666667,0.8694267515923567,0.853125,0.861198738170347
lightgbm,1,youden_j,0.6661721551292226,0.8606292517006803,0.9163663793496536,0.7632883049137571,0.786196553548444,0.5474242361250241,0.6111111111111112,0.8231292517006803,0.7014492753623188,0.9033457249070632,0.759375,0.8251273344651953
extra_trees,1,default_0.5,0.5,0.8193239795918368,0.8919674329799923,0.7319331562994555,0.7697839896056496,0.46408383264207165,0.6408450704225352,0.6190476190476191,0.629757785467128,0.8276923076923077,0.840625,0.834108527131783
extra_trees,1,f1_macro_opt,0.4710769686757456,0.8193239795918368,0.8919674329799923,0.7336813476048429,0.7736091797163407,0.4696844936545721,0.6641221374045801,0.5918367346938775,0.6258992805755396,0.8214285714285714,0.8625,0.8414634146341463
