feature,mean_abs_shap
AL_226,0.04417793995845745
AL_115,0.04407778590198611
AL_67,0.04342004136285892
AL_55,0.04278293912126023
AL_109,0.041292105639548396
AL_223,0.04125138260030184
frac_flags,0.04025424019643042
AL_103,0.039412502240620435
cat1_gnomADe,0.038478240065753795
AL_157,0.038117386664211134
cat1_NFE,0.036803642799457525
log_min_AF,0.03648742183247105
AL_94,0.03624204685794424
AL_302,0.0344687204519474
aa_involves_C,0.03379872884236801
AL_169,0.03377732242749445
AL_283,0.03341455227540739
AL_275,0.03267412727581856
n_nonmiss_AL,0.031423193771980634
AL_81,0.030330860806250692
AL_190,0.03015415858634767
AL_172,0.029771974480791885
AL_175,0.0293374126574117
AL_218,0.028961324531655744
AL_199,0.028063482807324493
AL_121,0.027265594532869638
AL_76,0.02688545998022233
AL_48,0.026784060131766107
miss_pc9,0.025974754876591278
AL_222,0.025844553336127667
AL_151,0.025289209308119336
AL_202,0.025081663989634892
AL_85,0.025022212334169094
AL_127,0.024860830540780164
sum_flags,0.024681937361657986
AL_317,0.02434281745552368
AL_271,0.024047814358090957
miss_pc2,0.023890194249875037
AL_241,0.023836996250057786
AL_219,0.023798898210246205
AL_238,0.023191805999553287
AL_235,0.022439085689070288
AL_3,0.02211073635572497
AL_120,0.021832705833049318
AL_260,0.021702770717722284
AL_71,0.021584265488599274
AL_100,0.021425880673667633
AL_301,0.02128739983526788
AL_330,0.021229936568131713
cat1_gnomADg,0.02049622629783659
AL_154,0.020458163556360476
cat1_AFR,0.020439015320156084
AL_291,0.020300795804608376
n_pops,0.02002685498450477
AL_5,0.019873043723894257
AL_93,0.019803968933338936
AL_77,0.019653658628252742
AL_297,0.019055886355192526
AL_139,0.018544669889184694
AL_211,0.01810753956959443
AL_50,0.01809241498180179
AL_45,0.017905383359243958
EK_net_evidence,0.01781652905712923
AL_206,0.017747734700579193
AL_239,0.017497550824221532
AL_313,0.017481208228885572
AL_160,0.017282780277821676
AL_262,0.01725265470338889
AL_266,0.017026244111471335
AL_203,0.015663048829243593
AL_277,0.015563419486295606
AL_138,0.015226027392830783
AL_111,0.015190771832008714
AL_305,0.01485056642695747
AL_63,0.014658532839138297
AL_196,0.014157686690695958
AL_72,0.01412235194043179
AL_188,0.01409631835005064
AL_142,0.013761219474442109
AL_39,0.013723298309402733
AL_88,0.01354600732019595
AL_321,0.012913505787424936
AL_201,0.012795603773015413
AL_230,0.012684265238217796
AL_118,0.012387595104585866
AL_144,0.012297288548725149
AL_270,0.011634288271426652
AL_147,0.011517215625509464
AL_318,0.011446549546663125
n_EK_ben,0.011121363167671941
AL_209,0.01111928793258815
AL_2,0.011004977248120901
AL_165,0.01089376409838331
AL_333,0.010817796759694015
blosum62_approx,0.010727168557564105
AL_310,0.010090818827135448
AL_326,0.009920857521661275
AL_96,0.009878484405444036
AL_4,0.00965714464331596
AL_243,0.009642638072043347
AL_60,0.009271939831935727
AL_183,0.00856636453028099
AL_126,0.008458786726785851
miss_EK3,0.008086838636471347
AL_90,0.008045111257754707
n_valid_flags,0.007812244343987173
AL_123,0.007781603389968079
AL_279,0.007638943658415808
AL_237,0.007386900192487898
AL_246,0.0073106746133257145
AL_84,0.007158930623300179
AL_308,0.0069521481442896575
AL_187,0.0067082843478189595
AL_322,0.006604540245350618
AL_264,0.006582382380415167
AL_42,0.00649605247738511
AL_51,0.006280599131141222
AL_329,0.006005692416567139
AL_38,0.005801282606739816
AL_150,0.005791140609849046
AL_234,0.005660936266661463
AL_171,0.005620937154682231
AL_69,0.0055460359749922574
AL_153,0.005331314865904485
AL_105,0.005179807774222779
AL_159,0.0049405559001447115
AL_314,0.004914211489415203
AL_198,0.004811337943143791
BA1_flag,0.004747903959279379
AL_300,0.004682089860059723
AL_295,0.004524378384839925
cat2_AllofUs_AFR,0.004507672647338049
npops_tier_10,0.004392889016164128
AL_135,0.004327560605686039
AL_57,0.004257979407735687
AL_117,0.004109560997976427
AL_156,0.004065864360022857
AL_257,0.004000181009054988
BS1_flag,0.003921682800801181
AL_192,0.003890734247032034
AL_274,0.0038327007754578933
AL_225,0.0036465352764108536
AL_141,0.0035641819627934535
AL_129,0.003557365336986844
AL_325,0.00353732353247762
AL_108,0.0035168996763105635
AL_213,0.003430950820462581
AL_278,0.0034288750369888014
AL_174,0.003376988622255689
AL_273,0.003364242466811194
AL_334,0.0033145506872685818
n_pops_squared,0.0032571592501278016
AL_66,0.0032274263104571017
AL_180,0.0031809236145532334
AL_232,0.0031158948986125348
AL_290,0.0031029356801780673
AL_33,0.0029975606892395333
AL_6,0.002974482992758314
AL_53,0.002968630742417299
AL_289,0.0029630261944411044
AL_205,0.0029038483478884144
AL_162,0.0027734428541271246
AL_281,0.002732526467774675
AL_87,0.0027058557692501758
AL_59,0.002543804289126398
AL_168,0.002501308104559578
