threshold,f1_macro,precision,recall,mcc,youden_j
0.59,0.748930931177412,0.8090909090909091,0.9391682184978274,0.52693264252464,0.45803614302612927
0.595,0.7457661078083987,0.8101952277657267,0.9273743016759777,0.5142410102493282,0.4556761884684306
0.6,0.7470501099756108,0.811886586695747,0.9242706393544382,0.51472266418652,0.4593110706212844
0.605,0.749375945640359,0.8155715074544451,0.9168218497827436,0.5150111495159122,0.4666870788932558
0.61,0.7512977099236642,0.8183844011142062,0.9118559900682806,0.5161843894539833,0.47250289033782233
0.615,0.7527493590523452,0.8211473565804275,0.9062693978895097,0.5165392377264935,0.47769796931808095
0.62,0.7543688587217257,0.824332006822058,0.9000620732464308,0.5172825826077179,0.48362002472891064
0.625,0.7542351454414208,0.8258877434135166,0.8950962135319678,0.5154974325951764,0.48539270948884106
0.63,0.7557714985486212,0.8305183459522423,0.8851644941030415,0.515782235429873,0.49298120569333803
0.635,0.7526979955301154,0.8349282296650717,0.8665425201738051,0.5067456993699228,0.4945748651872821
0.64,0.7489334674351635,0.8390663390663391,0.8479205462445686,0.49796805141834855,0.4948208157863476
0.645,0.7501981539983817,0.8490445859872612,0.8274363749224084,0.5009655171367821,0.5080293668361551
0.65,0.7506432373817035,0.8511866581141757,0.8237119801365611,0.5021972114988548,0.5110435165247011
0.655,0.7531656463336759,0.8572359843546284,0.8162631905648665,0.5083099589233918,0.5211149425864299
0.66,0.7533115339183688,0.8598684210526316,0.8112973308504035,0.5093680723620876,0.5242353362412391
0.665,0.7504947054023281,0.8614257161892072,0.8026070763500931,0.504947225323716,0.5222836262153221
0.67,0.7475758468524437,0.8639133378469871,0.7920546244568591,0.5009366163392327,0.5211651365862391
0.675,0.74798515015075,0.8691460055096418,0.7833643699565487,0.504035965786691,0.5272996799295946
0.68,0.7471381656457625,0.8742977528089888,0.7728119180633147,0.5052996404477702,0.5315720258800263
0.685,0.7422786069807432,0.87724335965542,0.7585350713842334,0.4992702374063121,0.5280768503599746
0.6900000000000001,0.7392060207253084,0.8833948339483395,0.7430167597765364,0.4983737995884524,0.5300787543857006
0.6950000000000001,0.7355732077156361,0.8875471698113208,0.7299813780260708,0.4957271448317386,0.5291727526891434
0.7000000000000001,0.7277431550005728,0.8898370830100854,0.7119801365611421,0.4860278773533719,0.5206054734883658
0.705,0.7218075553926795,0.8902920284135754,0.7001862197392924,0.47801423361533074,0.5128546833511523
0.71,0.7174765368183103,0.8935483870967742,0.6877715704531348,0.4745196064395445,0.5098739963291457
0.715,0.7095861202874605,0.8961794019933554,0.6697703289882061,0.4659936395095465,0.5013067171283678
0.72,0.6953987354711243,0.8949181739879414,0.6449410304158908,0.44658840848929593,0.48052054524068866
0.725,0.6846810879159435,0.8971377459749553,0.6225946617008069,0.4350882989940154,0.4676081387897557
0.73,0.6763184486929841,0.9008341056533827,0.6033519553072626,0.42816004313337286,0.459147103555241
0.735,0.668030474040632,0.9025787965616046,0.5865921787709497,0.41992609800970565,0.4491258714933217
0.74,0.6569549737577116,0.9093655589123867,0.5605214152700186,0.41323327130608584,0.4392276147309351
0.745,0.6432494935998557,0.9103375527426161,0.5356921166977033,0.3989611870736064,0.42113686063301325
0.75,0.6287302713478597,0.9148936170212766,0.5071384233395406,0.3875201009272033,0.40471254732875894
0.755,0.6125171914585594,0.914792899408284,0.4798261949099938,0.37075122202407196,0.3827911544787268
0.76,0.5981237333971443,0.9152119700748129,0.45561762880198636,0.35680120626804135,0.36397342395023435
0.765,0.5826434727070955,0.9154557463672391,0.4301675977653631,0.342086143853078,0.34391422849312603
0.77,0.5638530578619897,0.9148936170212766,0.40037243947858475,0.324086460598704,0.31950990578586236
0.775,0.5470415400202635,0.924031007751938,0.36995654872749845,0.31658003044903116,0.3039188128784418
0.78,0.5306799637352675,0.9294117647058824,0.3432650527622595,0.30644380002164284,0.28666127917735373
0.785,0.5144712971108674,0.9311594202898551,0.319056486654252,0.29370038638946167,0.26784354864886106
0.79,0.4872963645403761,0.931958762886598,0.28057107386716323,0.2711941382980154,0.23609668033616593
0.795,0.45690496837981975,0.941031941031941,0.2377405338299193,0.2523318476451355,0.20539552035283037
0.8,0.4231132658977198,0.945619335347432,0.19428926132836746,0.2272333051322768,0.17003050122055074
0.805,0.383919706209054,0.9518072289156626,0.14711359404096835,0.19778945074148377,0.13094108730242393
0.81,0.3493288251299147,0.9613259668508287,0.10800744878957169,0.1718860544451751,0.09857348652542086
0.8150000000000001,0.30568055133272526,0.9619047619047619,0.06269397889509622,0.12895416252686775,0.057303143315581506
0.8200000000000001,0.2641598989122912,0.972972972972973,0.0223463687150838,0.07842800381567425,0.020998659820205212
0.8250000000000001,0.24252854336919427,1.0,0.002482929857231533,0.028005457368681423,0.0024829298572315306
0.8300000000000001,0.2397415185783522,0.0,0.0,0.0,0.0
0.835,0.2397415185783522,0.0,0.0,0.0,0.0
0.84,0.2397415185783522,0.0,0.0,0.0,0.0
0.845,0.2397415185783522,0.0,0.0,0.0,0.0
0.85,0.2397415185783522,0.0,0.0,0.0,0.0
0.855,0.2397415185783522,0.0,0.0,0.0,0.0
0.86,0.2397415185783522,0.0,0.0,0.0,0.0
0.865,0.2397415185783522,0.0,0.0,0.0,0.0
0.87,0.2397415185783522,0.0,0.0,0.0,0.0
0.875,0.2397415185783522,0.0,0.0,0.0,0.0
0.88,0.2397415185783522,0.0,0.0,0.0,0.0
0.885,0.2397415185783522,0.0,0.0,0.0,0.0
0.89,0.2397415185783522,0.0,0.0,0.0,0.0
0.895,0.2397415185783522,0.0,0.0,0.0,0.0
