model_name,evaluation_split,threshold_source,threshold_strategy,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,f1_macro,f1_weighted,precision,recall,specificity,mcc,tn,fp,fn,tp
catboost,MASTER_CV,MASTER_CV,recall_constrained_f1,0.615,0.8104547386315342,0.7645253069781371,0.8454568574205973,0.9060067312655419,0.8652567975830816,0.7728862784477013,0.8070001675801473,0.8428487345497352,0.8888888888888888,0.6401617250673854,0.5487333830347807,475,267,179,1432
catboost,MASTER_CV,MASTER_CV,specificity_constrained_f1,0.615,0.8104547386315342,0.7645253069781371,0.8454568574205973,0.9060067312655419,0.8652567975830816,0.7728862784477013,0.8070001675801473,0.8428487345497352,0.8888888888888888,0.6401617250673854,0.5487333830347807,475,267,179,1432
ensemble_stack_l1,MASTER_CV,MASTER_CV,default_0.5,0.5,0.7790055248618785,0.7724547040980054,0.8467861618488793,0.9062025276769416,0.8303979125896934,0.756662370928993,0.783894069060378,0.874914089347079,0.7901924270639354,0.7547169811320755,0.5211999485683103,560,182,338,1273
ensemble_stack_l1,MASTER_CV,MASTER_CV,f1_macro_opt,0.357,0.8164045898852529,0.7616006699225841,0.8467861618488793,0.9062025276769416,0.8715814506539834,0.7748369250289291,0.8105662037234349,0.8362806617227609,0.909993792675357,0.6132075471698113,0.5577659355895058,455,287,145,1466
ensemble_stack_l1,MASTER_CV,MASTER_CV,mcc_opt,0.357,0.8164045898852529,0.7616006699225841,0.8467861618488793,0.9062025276769416,0.8715814506539834,0.7748369250289291,0.8105662037234349,0.8362806617227609,0.909993792675357,0.6132075471698113,0.5577659355895058,455,287,145,1466
ensemble_stack_l1,MASTER_CV,MASTER_CV,youden_j,0.5,0.7790055248618785,0.7724547040980054,0.8467861618488793,0.9062025276769416,0.8303979125896934,0.756662370928993,0.783894069060378,0.874914089347079,0.7901924270639354,0.7547169811320755,0.5211999485683103,560,182,338,1273
ensemble_stack_l1,MASTER_CV,MASTER_CV,balanced_accuracy_opt,0.5,0.7790055248618785,0.7724547040980054,0.8467861618488793,0.9062025276769416,0.8303979125896934,0.756662370928993,0.783894069060378,0.874914089347079,0.7901924270639354,0.7547169811320755,0.5211999485683103,560,182,338,1273
ensemble_stack_l1,MASTER_CV,MASTER_CV,recall_constrained_f1,0.357,0.8164045898852529,0.7616006699225841,0.8467861618488793,0.9062025276769416,0.8715814506539834,0.7748369250289291,0.8105662037234349,0.8362806617227609,0.909993792675357,0.6132075471698113,0.5577659355895058,455,287,145,1466
ensemble_stack_l1,MASTER_CV,MASTER_CV,specificity_constrained_f1,0.357,0.8164045898852529,0.7616006699225841,0.8467861618488793,0.9062025276769416,0.8715814506539834,0.7748369250289291,0.8105662037234349,0.8362806617227609,0.909993792675357,0.6132075471698113,0.5577659355895058,455,287,145,1466
extra_trees,MASTER_CV,MASTER_CV,default_0.5,0.5,0.7824054398640033,0.7418602063642645,0.828206434536149,0.8939175308845154,0.8427518427518428,0.7448241972379903,0.7809904207618058,0.8340425531914893,0.8516449410304159,0.6320754716981132,0.4900546987030817,469,273,239,1372
extra_trees,MASTER_CV,MASTER_CV,f1_macro_opt,0.549,0.7824054398640033,0.7534918292533976,0.828206434536149,0.8939175308845154,0.8395989974937343,0.7507109914813455,0.7835387336083178,0.8475648323845667,0.8317815021725636,0.6752021563342318,0.5017288783793511,501,241,271,1340
extra_trees,MASTER_CV,MASTER_CV,mcc_opt,0.549,0.7824054398640033,0.7534918292533976,0.828206434536149,0.8939175308845154,0.8395989974937343,0.7507109914813455,0.7835387336083178,0.8475648323845667,0.8317815021725636,0.6752021563342318,0.5017288783793511,501,241,271,1340
