trial,state,medical_utility_score,param_n_estimators,param_learning_rate,param_num_leaves,param_max_depth,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_split_gain,param_scale_pos_weight,fold_0_medical_utility_score,fold_0_threshold,fold_1_medical_utility_score,fold_1_threshold,fold_2_medical_utility_score,fold_2_threshold,fold_3_medical_utility_score,fold_3_threshold,fold_4_medical_utility_score,fold_4_threshold,mean_balanced_accuracy,mean_best_iteration,mean_f1_macro,mean_mcc,mean_medical_utility_score,mean_pathogenic_recall,mean_pr_auc,mean_roc_auc,mean_specificity,std_balanced_accuracy,std_f1_macro,std_mcc,std_medical_utility_score,std_pathogenic_recall,std_pr_auc,std_roc_auc,std_specificity,threshold_mean,threshold_median,threshold_std
14,COMPLETE,0.7819561081346493,1950,0.04812678141405565,53,5,45,0.8020833170307304,0.689053372198633,0.013474346885040228,2.670434663700317,0.09855453830200453,0.4025663190911091,0.796767473160476,0.46193417536838877,0.7934203363490313,0.5641838005467555,0.793020825053557,0.4355190347795164,0.7890585596513258,0.589632797266373,0.7819561081346493,0.37996016215984707,0.7708051962557383,42.6,0.7817632719498435,0.5688250103262098,0.7819561081346493,0.9037864626650858,0.9112183178378237,0.8538123028120606,0.6378239298463908,0.014710874199002364,0.014114656296821135,0.026972919662030703,0.017468938302510943,0.007231298274417501,0.016885065353871458,0.019329988364346892,0.026924038173191188,0.4862459940241761,0.46193417536838877,0.08835171156497965
15,COMPLETE,0.7816575451147991,600,0.028430985213289347,18,7,112,0.7931510127831971,0.6822150948874713,0.3236237891554608,3.427425446323448,0.08923647759045542,0.4470814294200206,0.8013412263932052,0.45981179651032106,0.7948309429315893,0.4383787039326484,0.7956725806467572,0.4188919620808944,0.7884168313986626,0.4589925778089275,0.7816575451147991,0.3562872647975314,0.7728481390195588,139.4,0.7827227565826371,0.5726424624663075,0.7816575451147991,0.9011614147393132,0.9071723275254906,0.8492820932063008,0.6445348632998045,0.020416609048602034,0.01809455760436765,0.031193367856293404,0.020214645018661156,0.03204028677459071,0.019425776360439972,0.022410217924167565,0.058607302331788534,0.4264724610260645,0.4383787039326484,0.04270320140267253
16,COMPLETE,0.7873227003933712,1150,0.02723317124110314,24,8,105,0.690107305692775,0.5865857808774373,0.010269883693999423,1.7260735570455419,0.07649420721400307,0.3662203933390258,0.8036131183901777,0.4561997189945171,0.8011812645008709,0.4065929634380057,0.8003683483637177,0.35176868174528797,0.7936192895653172,0.42998247437404297,0.7873227003933712,0.3496101227284193,0.7768786458766662,119.2,0.7890765647352216,0.584654421061044,0.7873227003933712,0.9118361639031928,0.9095883651219016,0.852227198119853,0.6419211278501397,0.016766994112907035,0.015814301097463544,0.029698532390452462,0.01840741061726697,0.009189152042926032,0.015914145628211772,0.019538841906155204,0.032542129412888275,0.3988307922560546,0.4065929634380057,0.04732702428274327
17,COMPLETE,0.7826477295018928,1500,0.02137871086852209,54,8,73,0.6568054966341289,0.5692000829383439,0.095058794131155,2.2353820345616997,0.09028488345548519,0.38589324579702566,0.7971394762728523,0.4714719674363014,0.7923911160494939,0.40280527157859836,0.7965818111262507,0.38601062106452994,0.7898121778697442,0.49021411923812197,0.7826477295018928,0.40630710966610717,0.7740015971560507,188.6,0.7843420482314769,0.5746587373787639,0.7826477295018928,0.9012438087275043,0.9078340370407505,0.8489295875453443,0.6467593855845969,0.016221591659362423,0.018694013867333284,0.03872046807528581,0.020778516684445105,0.033776827844369216,0.01734099494443367,0.01981067375337651,0.03784460106915995,0.4313618177967317,0.40630710966610717,0.04629352888233672
18,COMPLETE,0.7809118704474465,1250,0.03018274361443901,63,6,144,0.7115349989415635,0.6081124948612328,0.15271847578812828,4.0430999806329195,0.048136197402509115,0.39866887952225005,0.8032709834868644,0.4400222441212993,0.7955314605026857,0.44058902951515383,0.795818918366229,0.352227137955157,0.789329540182292,0.3683312276402089,0.7809118704474465,0.3620310165185805,0.7704392050598564,171.6,0.7820552942016338,0.570452541887995,0.7809118704474465,0.9068804067644647,0.9067159038802759,0.850394287599553,0.633998003355248,0.02006935672111528,0.01951099592137506,0.03742474851360645,0.0225985831970374,0.012508516544113092,0.021227669435227376,0.022447095404721968,0.03730106518228631,0.3926401311500799,0.3683312276402089,0.0438896690332445
19,COMPLETE,0.7820901337783819,1200,0.015793658502919715,15,7,96,0.6558221918240693,0.5943634268962431,0.017117191631009058,2.9427990516170546,0.06395033702963904,0.358524847521235,0.7965978372907828,0.4212429662643922,0.7953070957643493,0.37724349217960024,0.7928822972032671,0.36086644837812376,0.787887463490636,0.4108615498942916,0.7820901337783819,0.3148840207044606,0.7714413900490664,311.8,0.783033305109524,0.5736127626626701,0.7820901337783819,0.9067958988810437,0.9077720214521918,0.850428378616526,0.636086881217089,0.012911726399207195,0.011882294907026308,0.021915474342021127,0.015891593040038506,0.02729480361804789,0.019535717741495456,0.021223844030331,0.042352057849320425,0.3770196954841737,0.37724349217960024,0.04249349463675709
20,COMPLETE,0.7841160407961396,1000,0.01485533354573698,28,8,98,0.8135211613275426,0.5961895649909443,1.4590124222748075,0.6939251443267387,0.07249777848821164,0.6018687247291177,0.8004661003441309,0.5244181184730836,0.7962834774365828,0.5083362527226531,0.797398594264748,0.4839842645882282,0.7921000630741608,0.41678633568817003,0.7841160407961396,0.4731169425165998,0.7710536313697336,229.8,0.7849682472406213,0.5791995326751502,0.7841160407961396,0.9174900225914719,0.9092860580145266,0.8507882085349496,0.6246172401479954,0.01771507821402696,0.01732250749637945,0.03305100298355792,0.020336143993309876,0.013048746228793765,0.018249380250196217,0.021131525896078984,0.03410108740020386,0.481328382797747,0.4839842645882282,0.041310736083740196
21,COMPLETE,0.7802802858219196,1800,0.049382697548943026,68,5,64,0.70598970444455,0.8798737868247403,1.65278303770796,0.5820167771674475,0.05507048768710826,0.3042648531682678,0.8013702678240943,0.36995906901319225,0.7959206160511967,0.34503173484523597,0.7954634289657662,0.3398590893438484,0.7898015048845737,0.3781703671767229,0.7802802858219196,0.46158210304848435,0.7756604274530832,78.4,0.7821940820751533,0.5688496120816466,0.7802802858219196,0.8846420173358579,0.9065563171747035,0.8464894472226371,0.6666788375703085,0.010123350003135665,0.019247564112406537,0.04086866678864725,0.02376137827164812,0.04778326187042934,0.023024665214371194,0.026305538319892706,0.03036489723762567,0.3789204726854968,0.36995906901319225,0.04895930138719456
22,COMPLETE,0.7841000951983624,850,0.04012011857765785,24,8,109,0.6914307942025644,0.5719984904274932,0.032110941619430226,2.6377714845648303,0.05755355204891211,0.5159030016003798,0.8038465035515727,0.515234382624181,0.7947849617915184,0.4695704686293832,0.7984593159596879,0.4684702520645214,0.791301337477378,0.5115815851017042,0.7841000951983624,0.4136635474275017,0.778076356213797,138.0,0.7869346054418281,0.5778923064457626,0.7841000951983624,0.8981364026472723,0.9046915545943495,0.8495721646356171,0.6580163097803217,0.021404791855667273,0.02031515023414896,0.03867499570281154,0.021778579086555668,0.019929056077088763,0.017419138795678253,0.01838465720922962,0.043969899098118215,0.4757040471694583,0.4695704686293832,0.04119713987281713
23,COMPLETE,0.7833448990040925,700,0.021535439992585552,26,8,97,0.731350386390697,0.5803457182827789,0.010931074544062488,1.092655172474487,0.09379642669444428,0.36448549393156204,0.7984167942504758,0.4255224282374833,0.79752061594744,0.3090048265190166,0.8000900674618278,0.3704091817009978,0.7929937958545199,0.3329471858858065,0.7833448990040925,0.7142304212984607,0.7693200762805628,130.4,0.7836800707027846,0.578937830071166,0.7833448990040925,0.9182111764376257,0.9089884856853173,0.8505026893143569,0.6204289761235,0.020918435700099644,0.02281317495790115,0.04871865104134541,0.025037610783131513,0.032857184606096226,0.017143475365908507,0.020927547157701436,0.04155022654476817,0.430422808728353,0.3704091817009978,0.16463310235414932
24,COMPLETE,0.782982932793073,1500,0.026926577745260687,51,8,126,0.7923198942769244,0.6486888040280484,0.018193607785656204,1.4733519888293523,0.048873551562676865,0.39992359236707425,0.8054876855476452,0.4206571038399381,0.7990057646984123,0.4338291329402789,0.7975836499828395,0.384754293730755,0.7904802664185628,0.5133628795238678,0.782982932793073,0.358937335811815,0.7751300092278433,137.6,0.784378617299766,0.5750763186136332,0.782982932793073,0.8980477628249368,0.9078096250355777,0.849567772747652,0.6522122556307499,0.017979441017226153,0.018449350430177088,0.03527249775881565,0.0213650531473115,0.03836726219066559,0.01988886881544277,0.02294030328372034,0.0533512446888635,0.42230814916933096,0.4206571038399381,0.05884848124965113
25,COMPLETE,0.7850573624461398,2000,0.049316406618372076,55,3,63,0.7568085420882009,0.8212689127672022,0.06431036570620176,0.8893478773587266,0.04265360102341724,0.34306085576714584,0.8041834171764104,0.3670930306990418,0.8027284380181623,0.2884183766468001,0.8013511969864048,0.4003348247770108,0.7936711371666804,0.3751309623568243,0.7850573624461398,0.29667939599432896,0.7688969069067192,101.2,0.7850755069777062,0.5862036749585486,0.7850573624461398,0.9280286279072512,0.9081442826153348,0.8505818669608392,0.6097651859061874,0.022612582857819294,0.020757614886325132,0.04233267624962957,0.023491258004831476,0.029603199681174513,0.018939294133031512,0.0219310208334601,0.05885669542494492,0.34553131809480125,0.3670930306990418,0.04998216959398269
26,PRUNED,0.792710633709132,1750,0.05637676553091987,46,6,61,0.6767823670172279,0.8584542870333802,0.02763042999811368,0.5418184895896074,0.01063764432602065,0.3227652836838926,0.7930362249082117,0.4845865168426416,0.7909892370593338,0.3693489982480209,0.792710633709132,0.36328844608217153,,,,,,,,,,,,,,,,,,,,,,,,
