feature,importance,feature_group
AL_95,0,AL / population frequency
AL_74,0,AL / population frequency
AL_99,0,AL / population frequency
AL_78,0,AL / population frequency
AL_80,0,AL / population frequency
AL_86,0,AL / population frequency
AL_75,0,AL / population frequency
miss_AL7_15,0,missingness
miss_AL16_25,0,missingness
miss_AL27_38,0,missingness
n_pops,0,AL / population frequency
AL_56,0,AL / population frequency
AL_57,0,AL / population frequency
AL_113,0,AL / population frequency
AL_110,0,AL / population frequency
AL_65,0,AL / population frequency
AL_62,0,AL / population frequency
AL_41,0,AL / population frequency
AL_66,0,AL / population frequency
AL_47,0,AL / population frequency
AL_53,0,AL / population frequency
BS1_flag,0,AL / population frequency
AL_69,0,AL / population frequency
PM2_flag,0,AL / population frequency
BS2_proxy,0,AL / population frequency
n_pops_squared,0,interaction
npops_tier_0,0,other
npops_tier_26,0,other
AL_27,0,AL / population frequency
AL_28,0,AL / population frequency
AL_44,0,AL / population frequency
AL_29,0,AL / population frequency
AL_30,0,AL / population frequency
AL_32,0,AL / population frequency
AL_31,0,AL / population frequency
AL_34,0,AL / population frequency
AL_35,0,AL / population frequency
AL_36,0,AL / population frequency
AL_33,0,AL / population frequency
AL_37,0,AL / population frequency
AL_38,0,AL / population frequency
cat2_AllofUs_AFR,0,CAT / metadata
cat1_multipop,0,CAT / metadata
cat2_AllofUs_AMR,0,CAT / metadata
cat2_AllofUs_EAS,0,CAT / metadata
AL_6,0,AL / population frequency
AL_4,0,AL / population frequency
