model_name,evaluation_split,threshold_type,threshold_value,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,f1_macro,f1_weighted,precision,recall,specificity,mcc,log_loss,brier_score,tn,fp,fn,tp,n_samples
logistic_regression_ek_only,MASTER_CV,youden_j,0.5942139904062271,0.5954101147471313,0.6532795086342045,0.7052441017867391,0.8148638182682375,0.6269592476489029,0.5924954084112667,0.6052234476367261,0.8501594048884166,0.4965859714463066,0.8099730458221024,0.2907713802316074,0.6237892354564881,0.2148231925387683,601,141,811,800,2353
logistic_regression_ek_only_stack_run,MASTER_CV,default_0.5,0.5,0.694857628559286,0.645574311380151,0.7052441017867391,0.8148638182682375,0.7775712515489467,0.6458898206323894,0.6945218493049301,0.7761286332714904,0.7790192427063936,0.5121293800539084,0.2917900952675554,0.6237892354564881,0.2148231925387683,380,362,356,1255,2353
logistic_regression_ek_only_stack_run,MASTER_CV,f1_macro_opt,0.505007802580019,0.694857628559286,0.6477552406718634,0.7052441017867391,0.8148638182682375,0.7767412935323383,0.6474310494507329,0.6951873614383721,0.7781931464174455,0.7752948479205463,0.5202156334231806,0.2948725156156038,0.6237892354564881,0.2148231925387683,386,356,362,1249,2353
logistic_regression_ek_only_stack_run,MASTER_CV,youden_j,0.5942139904062271,0.5954101147471313,0.6532795086342045,0.7052441017867391,0.8148638182682375,0.6269592476489029,0.5924954084112667,0.6052234476367261,0.8501594048884166,0.4965859714463066,0.8099730458221024,0.2907713802316074,0.6237892354564881,0.2148231925387683,601,141,811,800,2353
majority_baseline,MASTER_CV,default_0.5,0.5,0.6846578835529111,0.5,0.5,0.6846578835529111,0.8128153380423815,0.40640766902119074,0.556500429063441,0.6846578835529111,1.0,0.0,0.0,5.082714464301589,0.3153421164470888,0,742,0,1611,2353
majority_baseline,MASTER_CV,f1_macro_opt,1.0,0.6846578835529111,0.5,0.5,0.6846578835529111,0.8128153380423815,0.40640766902119074,0.556500429063441,0.6846578835529111,1.0,0.0,0.0,5.082714464301589,0.3153421164470888,0,742,0,1611,2353
majority_baseline,MASTER_CV,youden_j,inf,0.3153421164470888,0.5,0.5,0.6846578835529111,0.0,0.2397415185783522,0.1512011957374733,0.0,0.0,1.0,0.0,5.082714464301589,0.3153421164470888,742,0,1611,0,2353
xgboost,MASTER_CV,default_0.5,0.5,0.8011049723756906,0.6988121589945138,0.8416889611682487,0.8976593463613229,0.8704318936877077,0.7213219797506181,0.7763906219993775,0.7856071964017991,0.9757914338919925,0.42183288409703507,0.5179976434566249,0.4649152379765072,0.1483718031664489,313,429,39,1572,2353
xgboost,MASTER_CV,f1_macro_opt,0.6655353903770447,0.8087547811304717,0.7614664009730944,0.8416889611682487,0.8976593463613229,0.8642943305186972,0.7702766616622263,0.8049988691574551,0.8404692082111437,0.8895096213531968,0.633423180592992,0.5439336324195191,0.4649152379765072,0.1483718031664489,470,272,178,1433,2353
xgboost,MASTER_CV,youden_j,0.7202925086021423,0.7675308117297067,0.7648017922604198,0.8416889611682487,0.8976593463613229,0.8197693574958814,0.7462102323086828,0.7733767770548262,0.8735955056179775,0.7721911855990068,0.7574123989218329,0.5034284872218403,0.4649152379765072,0.1483718031664489,562,180,367,1244,2353
lightgbm,CFTR_unique,saved_panel_threshold,0.622612398585205,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.30643791471171566,0.08593825713934082,15,2,2,15,34
lightgbm,KANSER_unique,saved_panel_threshold,0.622612398585205,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,1.3743707442267625,0.2509557123043199,60,37,3,42,142
lightgbm,PAH_unique,saved_panel_threshold,0.622612398585205,0.7692307692307693,0.7358943577430972,0.8100240096038416,0.8369009452622664,0.8258064516129032,0.7420171498570844,0.7556239595439268,0.735632183908046,0.9411764705882353,0.5306122448979592,0.5330645374168639,1.0884379198665373,0.21256663847123264,26,23,4,64,117
lightgbm,panel_unique_combined,saved_panel_threshold,0.622612398585205,0.757679180887372,0.7752005663048608,0.8681453515809344,0.8098509862418657,0.7731629392971247,0.7565448396119323,0.7546731765074568,0.6612021857923497,0.9307692307692308,0.6196319018404908,0.5647066601372233,1.1362688443849267,0.21647750372384042,101,62,9,121,293
